Date,GDP,GDP_Growth
2001-01-01,10470.231,0.33046996936680895
2001-04-01,10599.0,1.2298582524110424
2001-07-01,10598.02,-0.00924615529767081
2001-10-01,10660.465,0.5892138342822539
2002-01-01,10783.5,1.1541241399882551
2002-04-01,10887.46,0.9640654703945817
2002-07-01,10984.04,0.8870755897151472
2002-10-01,11061.433,0.7045950306080462
2003-01-01,11174.129,1.0188191710784666
2003-04-01,11312.766,1.2406962547147904
2003-07-01,11566.669,2.244393634589459
2003-10-01,11772.234,1.777218661656188
2004-01-01,11923.447,1.2844885686098317
2004-04-01,12112.815,1.5881984463050003
2004-07-01,12305.307,1.5891599103924348
2004-10-01,12527.214,1.8033438743137342
2005-01-01,12767.286,1.916403759048113
2005-04-01,12922.656,1.2169383532255829
2005-07-01,13142.642,1.702328066304637
2005-10-01,13324.204,1.3814726141060607
2006-01-01,13599.16,2.0635829352357637
2006-04-01,13753.424,1.1343641813170935
2006-07-01,13870.188,0.848981315489139
2006-10-01,14039.56,1.2211225976172635
2007-01-01,14215.651,1.2542487086489862
2007-04-01,14402.082,1.3114489093746018
2007-07-01,14564.117,1.125080387682842
2007-10-01,14715.058,1.0363896417475926
2008-01-01,14706.538,-0.05789987372118999
2008-04-01,14865.701,1.0822601485135364
2008-07-01,14898.999,0.22399212791917034
2008-10-01,14608.209,-1.9517418586308954
2009-01-01,14430.902,-1.2137490639680837
2009-04-01,14381.236,-0.3441642109412113
2009-07-01,14448.882,0.47037681601218573
2009-10-01,14651.249,1.400572030417302
2010-01-01,14764.61,0.7737292568026133
2010-04-01,14980.193,1.4601333865235766
2010-07-01,15141.607,1.077516157502112
2010-10-01,15309.474,1.108647186523859
2011-01-01,15351.448,0.274170098855131
2011-04-01,15557.539,1.3424857381531652
2011-07-01,15647.68,0.5794039789969396
2011-10-01,15842.259,1.2435006339597932
2012-01-01,16068.805,1.4300107074376234
2012-04-01,16207.115,0.8607360659364405
2012-07-01,16319.541,0.6936829904643727
2012-10-01,16420.419,0.6181423852545942
